Unnamed: 0,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,review_length,sentiment
0,A2HD75EMZR8QLN,0700099867,123,"[8, 12]","Installing the game was a struggle (because of games for windows live bugs).Some championship races and cars can only be ""unlocked"" by buying them as an addon to the game. I paid nearly 30 dollars when the game was new. I don't like the idea that I have to keep paying to keep playing.I noticed no improvement in the physics or graphics compared to Dirt 2.I tossed it in the garbage and vowed never to buy another codemasters game. I'm really tired of arcade style rally/racing games anyway.I'll continue to get my fix from Richard Burns Rally, and you should to. :)http://www.amazon.com/Richard-Burns-Rally-PC/dp/B000C97156/ref=sr_1_1?ie=UTF8&qid;=1341886844&sr;=8-1&keywords;=richard+burns+rallyThank you for reading my review! If you enjoyed it, be sure to rate it as helpful.",0.0,Pay to unlock content? I don't think so.,1341792000,"07 9, 2012",779,negative
2,A1INA0F5CWW3J4,0700099867,"Amazon Shopper ""Mr.Repsol""","[0, 0]",1st shipment received a book instead of the game.2nd shipment got a FAKE one. Game arrived with a wrong key inside on sealed box. I got in contact with codemasters and send them pictures of the DVD and the content. They said nothing they can do its a fake DVD.Returned it good bye.!,0.0,Wrong key,1403913600,"06 28, 2014",282,negative
7,AQTC623NCESZW,0700099867,Chesty Puller,"[1, 4]","I can't tell you what a piece of dog**** this game is. Like everything else Microsoft makes- it doesn't work. When are they going to take a cue from Apple and make things that actually work the first time and every time. To log onto this game they make you jump through a series of hoops that takes like 15 min. to accomplish. If you want another disappointment from Microsoft, buy some ""Games for Windows Live"" games.  I just wanted a simple arcade like driving game when I have a young boy visiting. If that's what you want, don't buy this. If you want to hire a consultant to help you run this game, then buy it.  oh, one more thing, every time I do get this game to play my joystick stops working (there's Windows 7 for you)",0.0,Crash 3 is correct name AKA Microsoft,1353715200,"11 24, 2012",728,negative
9,A2JLT2WY0F2HVI,0700099867,D. Sweetapple,"[1, 1]","I still haven't figured this one out. Did everything as instructed but the game never installed. Strange. Since I don't like to rate on something I couldn't get to work, I'll just say that I didn't like it because I couldn't get it to work :P For those that did manage to get it installed, I'm sure it's a great game. I had the first Dirt and it was a scream! Too bad this one bombed. Maybe a bad disc...",1.0,Couldn't get this one to work,1391817600,"02 8, 2014",404,negative
13,A248LSBZT4P38V,0700099867,Joseph R. Kennedy,"[0, 0]","I bought this and the key didn't work.  It was a gift, and the recipient wasn't able to solve the problem.  It might have been a good game, but I never found out because the key failed.",0.0,"It might have been a good game, but I never found out because the ...",1404086400,"06 30, 2014",185,negative
14,AFS6WERAP409A,0700099867,"Lisa Gamuciello ""Lisa G.""","[0, 0]",Crashed in Vista.  Codemasters told me they don't support it in Windows 8.  Couldn't get it to work even after looking on the Internet.,0.0,Don't waste your money,1367280000,"04 30, 2013",135,negative
15,A14L115LBOB0A5,0700099867,MotoRider42HC,"[1, 1]","This game was a rip-off.  It has less terrain, less tracks, and less features than DiRT 2.  The graphics are about the same.  Not worth the money, at all.",0.0,Not as good as DiRT 2,1373846400,"07 15, 2013",154,negative
17,A2VYL51WQXC5KK,0700099867,"Old-Lumens ""O-L""","[0, 0]","This really is a step up from Dirt 2. Better graphics, cars seem a little more responsive. Overall it was worth almost the money, but of course, I wait till the games are ""old hat"" and buy them cheaper.The really bad thing is having to buy tracks and cars. Nope, I'm never going to do that and I think it is a crappy deal, but that's life. If I had known about the lack of tracks and cars, I would have passed. There's no real reason to finish the game, as it's just more of the same without paying a bunch of money to get all the ""extras"", that should have been in the game to begin with.",2.0,"Better than Dirt 2, Except for....",1372377600,"06 28, 2013",589,negative
18,A10AYT89XSCE46,0700099867,Paulo Coelho,"[2, 5]","This game is bug landFirst had problems installing because it required some windows market software. Then it did not have any voice sounds. Then it was running on windowed mode only. Now, everytime I end a track it just crashes the computer (BSoD).I give up. Codemasters, next time, dont rush a game out just because you have to. Test the game! If not for yourself for Colin himself. If he was alive he would be embarrassed.And don't buy the game using Steam because if it does not work, Steam will show you the finger :)",0.0,Colin McRae CRASH 3!,1324857600,"12 26, 2011",521,negative
19,A29KT7UP7DLM1J,0700099867,Peter Ostman,"[3, 3]","DiRT 2 was like this.  I'm becoming more & more suspicious of games like this that require a continuous open Internet to play.  It just seems like bait set out for some young naive prey to fall for.  Does anyone honestly believe that personal information is collected for no particular reason?  I don't care what they say publicly.  Any assurances of privacy protection are quite hollow without close oversight, and nobody's looking.  It's quite a different thing to knowingly step out into a multiplayer server where you know you're being tracked, but this type of continuous spying is something more.  That aside, this carrot on a stick has more problems than just security.CONS - Requires open Internet (Windows Live) to play.  Annoying interface.  Continuous reminders to upload and download things you already selected not to do.  Most settings don't keep between sessions.  Setting up a race takes way too long.  Irritating ""music"" you can't turn off (it keeps coming back).  Takes too long to unlock things.  Entire career mode is pointless when the game setup is so irritating I just wanted out.  Video stuttering (possibly my equipment).PROS - Eye candy.  Plenty of game modes.  Enough tracks to get going.  Fairly good variety of cars.  Scaled difficulty levels from casual to advanced.I think this franchise, like many others, continues soley for the purpose of farming user information; where it seems the real money is.  If I can't turn it off, and some else controls the on-off switch, that's a problem.  Sometimes it might be worth it, but not here.  I found some entertainment value, but very briefly.  Anyway,  just my opinion...",0.0,The first one was much better.,1385164800,"11 23, 2013",1646,negative
