term,score
game,0.11746581295878497
like,0.0427901853911337
just,0.03972267267828126
games,0.038733129997019305
good,0.0359632177794615
play,0.0337254713307259
graphics,0.03131252050856091
fun,0.03096279174434588
really,0.029064228778187932
time,0.02795038611192069
don,0.02614437721770001
great,0.024407525469701558
better,0.023728653723143277
bad,0.02151807378527982
buy,0.021491645213211143
quot,0.021113774672544883
played,0.019344605926161024
playing,0.019265071560371324
way,0.01895589735614056
new,0.018338246725646053
gameplay,0.018267419942372264
pretty,0.017695747766127378
story,0.01760698840754487
make,0.017446424732852513
got,0.017253209916903163
want,0.017122643370461155
hard,0.01663383833114364
little,0.016337750499400654
thing,0.01614871861338167
boring,0.015844286563101297
